OrderID,CustomerName,Email,Phone,Region,Category,OrderDate,Quantity,UnitPrice
5348,Elizabeth Wilson,elizabeth.wilson14@example.com,(893) 503-4128,East,Electronics,2025-04-10,5.0,191.58
5562,John Brown,john.brown82@example.com,(528) 512-2543,East,Apparel,2025-07-26,2.0,100.95
5505,Linda Gonzalez,linda.gonzalez86@example.com,Unknown,West,Beauty,2025-02-26,1.0,176.89
5740,Jennifer Jackson,jennifer.jackson77@example.com,(794) 412-9397,South,Apparel,2025-08-19,2.0,190.41
5356,Michael Gonzalez,michael.gonzalez45@example.com,(312) 256-6212,South,Home & Living,2025-05-24,8.0,12.2
5821,Karen Anderson,karen.anderson78@example.com,Unknown,South,Beauty,2025-08-25,4.0,298.34
5777,James Hernandez,james.hernandez81@example.com,(761) 207-9585,Central,Home & Living,2025-05-19,5.0,158.93
5753,Jessica Thomas,jessica.thomas63@example.com,(544) 801-7106,West,Home & Living,2025-06-25,7.0,274.7
5259,Jennifer Anderson,jennifer.anderson14@example.com,(798) 943-8345,East,Apparel,2025-10-01,7.0,120.18
5303,Patricia Taylor,patricia.taylor26@example.com,(965) 608-3041,Central,Electronics,2025-05-07,7.0,236.6
5267,William Williams,william.williams79@example.com,(774) 587-1101,East,Beauty,2025-06-27,8.0,52.66
5237,Michael Taylor,michael.taylor30@example.com,(979) 347-8655,Central,Electronics,2025-02-22,7.0,201.47
5788,Jennifer Brown,jennifer.brown82@example.com,(776) 721-3162,South,Beauty,2025-07-14,3.0,37.14
5012,James Gonzalez,james.gonzalez20@example.com,(502) 715-9029,Central,Apparel,2025-06-28,6.0,226.27
5628,William Brown,william.brown21@example.com,(562) 568-1767,Central,Electronics,2025-05-10,8.0,109.86
5262,Jennifer Hernandez,jennifer.hernandez51@example.com,(265) 245-6727,East,Beauty,2025-03-28,6.0,158.93
5487,James Jackson,jamesjackson,(900) 684-9817,North,Home & Living,2025-01-14,6.0,105.84
